title,author,year,image_url,description,genres,tags,type
Heidi,Johanna Spyri,1885,https://covers.openlibrary.org/b/id/2668686-L.jpg,,,,
Pollyanna,"Eleanor Hodgman Porter, Porter, Neil Reed, Lee Giles",1912,https://covers.openlibrary.org/b/id/902113-L.jpg,,,,
Middlemarch,George Eliot,1871,https://covers.openlibrary.org/b/id/252882-L.jpg,,,,
The Enchanted Castle,Edith Nesbit,1907,https://covers.openlibrary.org/b/id/6644514-L.jpg,,,,
White Fang,Jack London,1905,https://covers.openlibrary.org/b/id/8236920-L.jpg,,,,
Ivanhoe,Sir Walter Scott,1800,https://covers.openlibrary.org/b/id/314235-L.jpg,,,,
The Secret Garden,Frances Hodgson Burnett,1911,https://covers.openlibrary.org/b/id/12622062-L.jpg,,,,
Ethan Frome,Edith Wharton,1910,https://covers.openlibrary.org/b/id/8303480-L.jpg,,,,
Treasure Island,Robert Louis Stevenson,1880,https://covers.openlibrary.org/b/id/13859660-L.jpg,,,,
The Waves,Virginia Woolf,1931,https://covers.openlibrary.org/b/id/119517-L.jpg,,,,
The Scarlet Letter,Nathaniel Hawthorne,1850,https://covers.openlibrary.org/b/id/5654516-L.jpg,,,,
The Sea Fairies,L. Frank Baum,1911,https://covers.openlibrary.org/b/id/1814237-L.jpg,,,,
King Solomon's Mines,H. Rider Haggard,1885,https://covers.openlibrary.org/b/id/6861197-L.jpg,,,,
"Villette, a novel",Charlotte Brontë,1853,https://covers.openlibrary.org/b/id/5737854-L.jpg,,,,
Hard Times,"Charles Dickens, García de García de Luna, Elisa Esgasa, Emilia Pardo Bazán",1854,https://covers.openlibrary.org/b/id/8236916-L.jpg,,,,
The Jungle,Upton Sinclair,1905,https://covers.openlibrary.org/b/id/8231790-L.jpg,,,,
My Ántonia,Willa Cather,1918,https://covers.openlibrary.org/b/id/8369013-L.jpg,,,,
Orlando,Virginia Woolf,1928,https://covers.openlibrary.org/b/id/3240273-L.jpg,,,,
Just So Stories,Rudyard Kipling,1922,https://covers.openlibrary.org/b/id/36215-L.jpg,,,,
Dubliners,James Joyce,1914,https://covers.openlibrary.org/b/id/8216412-L.jpg,,,,
Peter Pan,J. M. Barrie,1911,https://covers.openlibrary.org/b/id/8237052-L.jpg,,,,
Jane Eyre,Charlotte Brontë,1847,https://covers.openlibrary.org/b/id/8235363-L.jpg,,,,
The Scarlet Pimpernel,"Emmuska Orczy, Baroness Orczy",1900,https://covers.openlibrary.org/b/id/479102-L.jpg,,,,
To the Lighthouse,Virginia Woolf,1927,https://covers.openlibrary.org/b/id/8231846-L.jpg,,,,
Мы,"Евгений Иванович Замятин, Gary Kern, Alejandro Ariel González, Tavo Montañez, Sergio Hernández-Ranera Sánchez, Zilboorg Gregory, Alexander Glinka",1924,https://covers.openlibrary.org/b/id/5484189-L.jpg,,,,
Five Children and It,Edith Nesbit,1905,https://covers.openlibrary.org/b/id/28174-L.jpg,,,,
Great Expectations,"Charles Dickens, Charles Dickens",1861,https://covers.openlibrary.org/b/id/13322313-L.jpg,,,,
The Story of the Amulet,Edith Nesbit,1905,https://covers.openlibrary.org/b/id/13241470-L.jpg,,,,
Little Women,Louisa May Alcott,1848,https://covers.openlibrary.org/b/id/8775559-L.jpg,,,,
Dracula,Bram Stoker,1897,https://covers.openlibrary.org/b/id/12216503-L.jpg,,,,
The Railway Children,Edith Nesbit,1900,https://covers.openlibrary.org/b/id/13241123-L.jpg,,,,
A Room with a View,Edward Morgan Forster,1908,https://covers.openlibrary.org/b/id/1748132-L.jpg,,,,
Frankenstein or The Modern Prometheus,Mary Shelley,1818,https://covers.openlibrary.org/b/id/12356249-L.jpg,,,,
Persuasion,Jane Austen,1789,https://covers.openlibrary.org/b/id/12824691-L.jpg,,,,
Wind in the Willows,"Kenneth Grahame, Michael Hague, John Burningham, David Roberts, Oxford Editor, Guo man, Yang Ma, Ernest H. Shepard, Charles Van Sandwyk, Katie Dicker",1908,https://covers.openlibrary.org/b/id/13335427-L.jpg,,,,
Anne of Avonlea,Lucy Maud Montgomery,1909,https://covers.openlibrary.org/b/id/14638062-L.jpg,,,,
The Moonstone,Wilkie Collins,1868,https://covers.openlibrary.org/b/id/8237041-L.jpg,,,,
Kim,Rudyard Kipling,1901,https://covers.openlibrary.org/b/id/1053011-L.jpg,,,,
The Call of the Wild,Jack London,1903,https://covers.openlibrary.org/b/id/12393037-L.jpg,,,,
Mrs. Dalloway,Virginia Woolf,1925,https://covers.openlibrary.org/b/id/6397580-L.jpg,,,,
Foundation,Isaac Asimov,1951,https://covers.openlibrary.org/b/id/14612610-L.jpg,,,,
Ficciones,Jorge Luis Borges,1945,https://covers.openlibrary.org/b/id/10832290-L.jpg,,,,
Dracula,Bram Stoker,1897,https://covers.openlibrary.org/b/id/12216503-L.jpg,,,,
The Last Man,Mary Shelley,1826,https://covers.openlibrary.org/b/id/882662-L.jpg,,,,
Beloved,Toni Morrison,1987,https://covers.openlibrary.org/b/id/8261367-L.jpg,,,,
The Time Machine,H. G. Wells,1895,https://covers.openlibrary.org/b/id/9009316-L.jpg,,,,
The Invisible Man,H. G. Wells,0,https://covers.openlibrary.org/b/id/6419199-L.jpg,,,,
Dune,Frank Herbert,1965,https://covers.openlibrary.org/b/id/11481354-L.jpg,,,,
Мы,"Евгений Иванович Замятин, Gary Kern, Alejandro Ariel González, Tavo Montañez, Sergio Hernández-Ranera Sánchez, Zilboorg Gregory, Alexander Glinka",1924,https://covers.openlibrary.org/b/id/5484189-L.jpg,,,,
A Room of One's Own,Virginia Woolf,1929,https://covers.openlibrary.org/b/id/6559057-L.jpg,,,,
The War of the Worlds,H. G. Wells,0,https://covers.openlibrary.org/b/id/36314-L.jpg,,,,
The Riddle of the Sands,Erskine Childers,1903,https://covers.openlibrary.org/b/id/2293974-L.jpg,,,,
Kim,Rudyard Kipling,1901,https://covers.openlibrary.org/b/id/1053011-L.jpg,,,,
The Picture of Dorian Gray,Oscar Wilde,1890,https://covers.openlibrary.org/b/id/14314858-L.jpg,,,,
The Great God Pan,Arthur Machen,1894,https://covers.openlibrary.org/b/id/921610-L.jpg,,,,
The Scarlet Pimpernel,"Emmuska Orczy, Baroness Orczy",1900,https://covers.openlibrary.org/b/id/479102-L.jpg,,,,
Flatland,Edwin Abbott Abbott,1884,https://covers.openlibrary.org/b/id/10069547-L.jpg,,,,
The blue castle,Lucy Maud Montgomery,1926,https://covers.openlibrary.org/b/id/14640067-L.jpg,,,,
The Awakening,Kate Chopin,1899,https://covers.openlibrary.org/b/id/8750241-L.jpg,,,,
Dubliners,James Joyce,1914,https://covers.openlibrary.org/b/id/8216412-L.jpg,,,,
The Martian Chronicles,Ray Bradbury,1950,https://covers.openlibrary.org/b/id/9346537-L.jpg,,,,
Of Human Bondage,William Somerset Maugham,1915,https://covers.openlibrary.org/b/id/5277723-L.jpg,,,,
Lilith,George MacDonald,1895,https://covers.openlibrary.org/b/id/14364546-L.jpg,,,,
The Sign of Four,Arthur Conan Doyle,1889,https://covers.openlibrary.org/b/id/9247987-L.jpg,,,,
Persuasion,Jane Austen,1789,https://covers.openlibrary.org/b/id/12824691-L.jpg,,,,
The Scarlet Letter,Nathaniel Hawthorne,1850,https://covers.openlibrary.org/b/id/5654516-L.jpg,,,,
This Side of Paradise,F. Scott Fitzgerald,1920,https://covers.openlibrary.org/b/id/8243609-L.jpg,,,,
The Adventures of Tom Sawyer,Mark Twain,1817,https://covers.openlibrary.org/b/id/12043351-L.jpg,,,,
The Sea Fairies,L. Frank Baum,1911,https://covers.openlibrary.org/b/id/1814237-L.jpg,,,,
Fahrenheit 451,Ray Bradbury,1953,https://covers.openlibrary.org/b/id/12993656-L.jpg,,,,
The First Men in the Moon,H. G. Wells,1900,https://covers.openlibrary.org/b/id/8081288-L.jpg,,,,
The Lost World,Arthur Conan Doyle,1900,https://covers.openlibrary.org/b/id/8231444-L.jpg,,,,
Wuthering Heights,Emily Brontë,1846,https://covers.openlibrary.org/b/id/12818862-L.jpg,,,,
The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,1892,https://covers.openlibrary.org/b/id/6717853-L.jpg,,,,
The Book of Dragons,Edith Nesbit,1973,https://covers.openlibrary.org/b/id/4342323-L.jpg,,,,
The Good Earth,"Pearl S. Buck, Nick Bertozzi, Ruth Goode, Donald F. Roden, Ernst Simon, Stephen Colbourn",1931,https://covers.openlibrary.org/b/id/2626823-L.jpg,,,,
Sense and Sensibility,Jane Austen,1811,https://covers.openlibrary.org/b/id/9278292-L.jpg,,,,
When the Sleeper Awakes,H. G. Wells,1899,https://covers.openlibrary.org/b/id/574886-L.jpg,,,,
Poetics,"Aristotle, Leon Golden, O. B. Hardison",1536,https://covers.openlibrary.org/b/id/6528920-L.jpg,,,,
The Moonstone,Wilkie Collins,1868,https://covers.openlibrary.org/b/id/8237041-L.jpg,,,,
The Science Fiction Hall of Fame -- Volume One,"Robert Silverberg, Robert A. Heinlein, Arthur C. Clarke, Isaac Asimov, Ray Bradbury",1970,https://covers.openlibrary.org/b/id/6941459-L.jpg,,,,
Foundation,Isaac Asimov,1951,https://covers.openlibrary.org/b/id/14612610-L.jpg,,,,
The Last Man,Mary Shelley,1826,https://covers.openlibrary.org/b/id/882662-L.jpg,,,,
The Time Machine,H. G. Wells,1895,https://covers.openlibrary.org/b/id/9009316-L.jpg,,,,
The Invisible Man,H. G. Wells,0,https://covers.openlibrary.org/b/id/6419199-L.jpg,,,,
Dune,Frank Herbert,1965,https://covers.openlibrary.org/b/id/11481354-L.jpg,,,,
Мы,"Евгений Иванович Замятин, Gary Kern, Alejandro Ariel González, Tavo Montañez, Sergio Hernández-Ranera Sánchez, Zilboorg Gregory, Alexander Glinka",1924,https://covers.openlibrary.org/b/id/5484189-L.jpg,,,,
Great Sf Heinlein Bxs,Robert A. Heinlein,1980,,,,,
Cryptonomicon,Neal Stephenson,1999,https://covers.openlibrary.org/b/id/6424001-L.jpg,,,,
Ubik,Philip K. Dick,1969,https://covers.openlibrary.org/b/id/5018327-L.jpg,,,,
The War of the Worlds,H. G. Wells,0,https://covers.openlibrary.org/b/id/36314-L.jpg,,,,
Wild seed,Octavia E. Butler,1980,https://covers.openlibrary.org/b/id/288149-L.jpg,,,,
The Illustrated Man,Ray Bradbury,1901,https://covers.openlibrary.org/b/id/9345484-L.jpg,,,,
The Martian Chronicles,Ray Bradbury,1950,https://covers.openlibrary.org/b/id/9346537-L.jpg,,,,
Second Foundation,Isaac Asimov,1953,https://covers.openlibrary.org/b/id/9261324-L.jpg,,,,
Flatland,Edwin Abbott Abbott,1884,https://covers.openlibrary.org/b/id/10069547-L.jpg,,,,
The language of the night,Ursula K. Le Guin,1979,https://covers.openlibrary.org/b/id/4437200-L.jpg,essays on fantasy and science fiction,,,
Ficciones,Jorge Luis Borges,1945,https://covers.openlibrary.org/b/id/10832290-L.jpg,,,,
Fahrenheit 451,Ray Bradbury,1953,https://covers.openlibrary.org/b/id/12993656-L.jpg,,,,
The First Men in the Moon,H. G. Wells,1900,https://covers.openlibrary.org/b/id/8081288-L.jpg,,,,
The Lost World,Arthur Conan Doyle,1900,https://covers.openlibrary.org/b/id/8231444-L.jpg,,,,
"Mary Shelley's Frankenstein; or, the Modern Prometheus (1818 text)",Mary Shelley,1818,https://covers.openlibrary.org/b/id/7267770-L.jpg,,,,
Dracula,Bram Stoker,1897,https://covers.openlibrary.org/b/id/12216503-L.jpg,,,,
Stranger in a Strange Land,Robert A. Heinlein,1961,https://covers.openlibrary.org/b/id/14630668-L.jpg,,,,
The Foundation Trilogy,Isaac Asimov,1950,https://covers.openlibrary.org/b/id/6502517-L.jpg,,,,
The Awakening,Kate Chopin,1899,https://covers.openlibrary.org/b/id/8750241-L.jpg,,,,
When the Sleeper Awakes,H. G. Wells,1899,https://covers.openlibrary.org/b/id/574886-L.jpg,,,,
Pandora,William Kern,2015,,,,,
Foundation and Empire,Isaac Asimov,1945,https://covers.openlibrary.org/b/id/9300695-L.jpg,,,,
Neuromancer,William Gibson,1984,https://covers.openlibrary.org/b/id/283860-L.jpg,,,,
A Room of One's Own,Virginia Woolf,1929,https://covers.openlibrary.org/b/id/6559057-L.jpg,,,,
To your scattered bodies go,Philip José Farmer,1971,https://covers.openlibrary.org/b/id/382159-L.jpg,,,,
The Scarlet Letter,Nathaniel Hawthorne,1850,https://covers.openlibrary.org/b/id/5654516-L.jpg,,,,
Frankenstein or The Modern Prometheus,Mary Shelley,1818,https://covers.openlibrary.org/b/id/12356249-L.jpg,,,,
Du contrat social,Jean-Jacques Rousseau,1762,https://covers.openlibrary.org/b/id/6581958-L.jpg,,,,
The Island of Dr. Moreau,"H. G. Wells, Fiona Beddall, Dobbs, Fabrizio Fiorentino, David Domínguez, Jonathan Kent, Margaret Atwood, Judit Lligonya Tenasen, Manuel Rivas Cabezuelo, Amaia Gurbindo, Judit Lligonya Tenas, Marta Seoane Rebollo",1896,https://covers.openlibrary.org/b/id/968312-L.jpg,,,,
Of Human Bondage,William Somerset Maugham,1915,https://covers.openlibrary.org/b/id/5277723-L.jpg,,,,
Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,1872,https://covers.openlibrary.org/b/id/6976035-L.jpg,,,,
Vingt mille lieues sous les mers,Jules Verne,1870,https://covers.openlibrary.org/b/id/6573517-L.jpg,,,,
La Poetica,Aristotle,1479,https://covers.openlibrary.org/b/id/129771-L.jpg,,,,
